PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESIONAL A;2132717.00;1.000;17; ;PROFESIONAL EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL A;1453983.00;1.000;35; ;BODEGUERO                                                                                                                                                                                                                                                       
JEFE B;3872878.00;1.000;30; ;JEFE DE ANÁLISIS ADMINISTRATIVO                                                                                                                                                                                                                                 
PROFESIONAL C;3222418.00;1.000;24; ;PROFESIONAL COORDINADOR C DE BIBLIOTECA                                                                                                                                                                                                                         
PROFESOR ASOCIADO                      ;3113644.00;1.000;23; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1273489.00;1.000;24; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO C;1494890.00;1.000;20; ;TÉCNICO EN APOYO AL PROCESO ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                     
PROFESIONAL C;3423279.00;1.000;34; ;PROFESIONAL COORDINADOR DE CASE                                                                                                                                                                                                                                 
PROFESOR ADJUNTO                       ;3013461.00;1.000;33; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5145313.00;1.000;30; ;PUESTO NO ADMINISTRATIVO 
JEFE A;3715296.00;1.000;35; ;JEFE DE IMPORTACIONES                                                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;1795377.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3856885.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;708445.90;1.000;31;MES INCOMPLETO;DISTRIBUIDOR DE MATERIAL DIDÁCTICO, PERIÓDICOS Y DOCUMENTACIÓN                                                                                                                                                                                                  
PROFESIONAL B;1677606.00;1.000;8; ;PROFESIONAL EN ARQUITECTURA DE SERVICIOS GENERALES                                                                                                                                                                                                              
JEFE A;3772160.00;1.000;30; ;JEFE DE PRESUPUESTO ORDINARIO                                                                                                                                                                                                                                   
PROFESOR INSTRUCTOR                    ;1459752.45;0.855;15; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;2078413.00;1.000;35; ;TÉCNICO EN PROCESOS INSTRUCCIONALES DE HOSTIGAMIENTO SEXUAL                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;11;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
JEFE A;3500277.00;1.000;29; ;JEFE DE CONSTRUCCIÓN DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;3952314.00;1.000;28; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;166610.40;0.250;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1606383.00;1.000;32; ;PENDIENTE...                                                                                                                                                                                                                                                    
TRABAJADOR OPERATIVO C;1807261.00;1.000;27; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;2060756.00;1.000;34; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE OFICINA                                                                                                                                                                                                               
