position,salary,hours,years,respon,salq,years_cut,time
TECNICO ESPECIALIZADO D,1947636.0,Tiempo Completo,30,TÉCNICO EN BECAS Y BENEFICIOS COMPLEMENTARIOS DE SEDE                                                                                                                                                                                                           ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5935085.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL C,3496809.0,Tiempo Completo,35,PROFESIONAL EN GESTIÓN ADMINISTRATIVA Y DE PROYECTOS DEL CIEDES                                                                                                                                                                                                 ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO D,1919612.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,96077.85,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR PROFESOR SEP CONTRACTUAL      ,176785.8,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,3187157.0,Tiempo Completo,35,PROFESIONAL EN APOYO DE EVALUACIÓN DE PLANES UNIVERSITARIOS                                                                                                                                                                                                     ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1819579.7,3/4 de tiempo,30,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3179420.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3749044.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,185683.15,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1444063.0,Tiempo Completo,14,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,1200538.0,Tiempo Completo,25,CONSERJE                                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1461315.15,Tiempo Completo,25,TÉCNICO DE LABORATORIO EN BIOLOGÍA MOLECULAR                                                                                                                                                                                                                    ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1772743.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,2882476.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3921547.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2852491.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,925126.65,3/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,1372341.0,Tiempo Completo,22,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL A,1373763.0,Tiempo Completo,28,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1144290.0,1/2 tiempo,13,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1580728.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL C,1592887.0,Tiempo Completo,3,PROFESIONAL EN APOYO A LA INVESTIGACIÓN EN SISMOLOGÍA                                                                                                                                                                                                           ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,3115008.0,Tiempo Completo,36,JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL C,2206956.5,Tiempo Completo,24,PROFESIONAL EDITOR DE REVISTA DE BIOLOGÍA TROPICAL                                                                                                                                                                                                              ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1916326.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5122429.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2133460.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO C,1679493.0,Tiempo Completo,23,TÉCNICO EN TRÁMITE DE CONVENIOS Y LOGÍSTICA                                                                                                                                                                                                                     ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,1449500.0,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,280493.8,1/4 de tiempo,18,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,256165.85,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR ADJUNTO                       ,2930238.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,2115777.0,Tiempo Completo,36,TÉCNICO DE LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                                                                                                                                     ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,749298.4,5/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,413314.25,1/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2019815.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,111142.6,1/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,31,TÉCNICO DE LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                                                                                                                                     ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,281754.6,1/8 de tiempo,17,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESIONAL B,2692052.0,Tiempo Completo,25,PROFESIONAL EN APOYO A LA INVESTIGACIÓN MICROBIOLÓGICA                                                                                                                                                                                                          ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,2638527.75,3/4 de tiempo,28,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL B,1414894.0,Tiempo Completo,23,SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1678547.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
DECANO,4985541.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5410393.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO EDUCACION SUPERIOR,1305938.5,1/2 tiempo,31,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,167529.95,1/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,212985.45,1/8 de tiempo,19,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,242416.1,1/8 de tiempo,23,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3484439.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL A,2801300.0,Tiempo Completo,36,PROFESIONAL EN ENSAYOS BIOLÓGICOS                                                                                                                                                                                                                               ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL C,3166135.0,Tiempo Completo,28,PROFESIONAL COORDINADOR DE GESTIÓN DE PAGO                                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1855101.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO EDUCACION SUPERIOR    ,473928.25,1/4 de tiempo,20,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,2152934.0,Tiempo Completo,24,PROFESIONAL EN CONSULTORÍA JURÍDICA                                                                                                                                                                                                                             ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1924323.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO SIN TITULO           ,112093.6,1/4 de tiempo,18,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5339210.0,Tiempo Completo,45,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(40.0, 50.0]",2020-08-01
