position,salary,hours,years,respon,salary/1000,sal_qcut,years_cut,time
PROFESOR INTERINO LICENCIADO           ,925126.65,3/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,925.12665,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1372341.0,Tiempo Completo,22,ADMINISTRATIVO,1372.341,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL A,1373763.0,Tiempo Completo,28,ADMINISTRATIVO,1373.763,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1144290.0,1/2 tiempo,13,PUESTO NO ADMINISTRATIVO ,1144.29,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1580728.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,1580.728,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESIONAL C,1592887.0,Tiempo Completo,3,ADMINISTRATIVO,1592.887,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESIONAL B,3115008.0,Tiempo Completo,36,ADMINISTRATIVO,3115.008,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESIONAL C,2206956.5,Tiempo Completo,24,ADMINISTRATIVO,2206.9565,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1916326.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,1916.326,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,5122429.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,5122.429,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2133460.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,2133.46,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO C,1679493.0,Tiempo Completo,23,ADMINISTRATIVO,1679.493,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,1449500.0,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,1449.5,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,280493.8,1/4 de tiempo,18,PUESTO NO ADMINISTRATIVO ,280.49379999999996,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,256165.85,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,256.16585,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR ADJUNTO                       ,2930238.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,2930.238,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,2115777.0,Tiempo Completo,36,ADMINISTRATIVO,2115.777,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,749298.4,5/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,749.2984,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,413314.25,1/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,413.31425,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2019815.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2019.815,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,111142.6,1/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,111.1426,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,31,ADMINISTRATIVO,2003.683,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,281754.6,1/8 de tiempo,17,PUESTO NO ADMINISTRATIVO ,281.7546,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESIONAL B,2692052.0,Tiempo Completo,25,ADMINISTRATIVO,2692.052,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,2638527.75,3/4 de tiempo,28,PUESTO NO ADMINISTRATIVO ,2638.52775,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL B,1414894.0,Tiempo Completo,23,ADMINISTRATIVO,1414.894,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1678547.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,1678.547,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
DECANO,4985541.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,4985.541,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,5410393.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,5410.393,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR EDUCACION SUPERIOR,1305938.5,1/2 tiempo,31,PUESTO NO ADMINISTRATIVO ,1305.9385,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,167529.95,1/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,167.52995,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,212985.45,1/8 de tiempo,19,PUESTO NO ADMINISTRATIVO ,212.98545000000001,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,242416.1,1/8 de tiempo,23,PUESTO NO ADMINISTRATIVO ,242.4161,"(161986.54, 334919.26]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3484439.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,3484.439,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL A,2801300.0,Tiempo Completo,36,ADMINISTRATIVO,2801.3,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESIONAL C,3166135.0,Tiempo Completo,28,ADMINISTRATIVO,3166.135,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1855101.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,1855.101,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR EDUCACION SUPERIOR,473928.25,1/4 de tiempo,20,PUESTO NO ADMINISTRATIVO ,473.92825,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESIONAL A,2152934.0,Tiempo Completo,24,ADMINISTRATIVO,2152.934,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1924323.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,1924.323,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR INTERINO SIN TITULO           ,112093.6,1/4 de tiempo,18,PUESTO NO ADMINISTRATIVO ,112.09360000000001,"(6711.849, 161986.54]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,5339210.0,Tiempo Completo,45,PUESTO NO ADMINISTRATIVO ,5339.21,"(2802161.5, 9891736.0]",40-50 Años,2020-08-01
TECNICO ASISTENCIAL A,1433928.0,Tiempo Completo,34,PUESTO NO ADMINISTRATIVO ,1433.928,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
JEFE A,4026880.0,Tiempo Completo,33,ADMINISTRATIVO,4026.88,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
JEFE B,4570701.0,Tiempo Completo,33,ADMINISTRATIVO,4570.701,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESIONAL A,2505666.0,Tiempo Completo,28,ADMINISTRATIVO,2505.666,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3952985.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,3952.985,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1673765.0,Tiempo Completo,26,ADMINISTRATIVO,1673.765,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESIONAL C,3088475.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,3088.475,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
JEFE A,3623145.0,Tiempo Completo,26,ADMINISTRATIVO,3623.145,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,2906969.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,2906.969,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
DIRECTOR DE ESCUELA,2506147.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,2506.147,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3637250.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,3637.25,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
TECNICO ESPECIALIZADO B,1739496.0,Tiempo Completo,32,ADMINISTRATIVO,1739.496,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESIONAL C,3650992.0,Tiempo Completo,34,ADMINISTRATIVO,3650.992,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,504603.25,1/4 de tiempo,28,PUESTO NO ADMINISTRATIVO ,504.60325,"(334919.26, 553674.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4519726.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,4519.726,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1256283.75,3/4 de tiempo,22,PUESTO NO ADMINISTRATIVO ,1256.28375,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4482651.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,4482.651,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL A,2322456.0,Tiempo Completo,29,ADMINISTRATIVO,2322.456,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL B,1265958.0,Tiempo Completo,18,ADMINISTRATIVO,1265.958,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1542553.0,Tiempo Completo,33,ADMINISTRATIVO,1542.553,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESIONAL C,1886007.0,Tiempo Completo,16,ADMINISTRATIVO,1886.007,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL A,2804067.0,Tiempo Completo,34,ADMINISTRATIVO,2804.067,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
JEFE A,3592428.0,Tiempo Completo,32,ADMINISTRATIVO,3592.428,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,3557477.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,3557.477,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1614646.75,7/8 de tiempo,16,PUESTO NO ADMINISTRATIVO ,1614.64675,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1353708.0,Tiempo Completo,28,ADMINISTRATIVO,1353.708,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESIONAL A,2132717.0,Tiempo Completo,17,ADMINISTRATIVO,2132.717,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1453983.0,Tiempo Completo,35,ADMINISTRATIVO,1453.983,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
JEFE B,3872878.0,Tiempo Completo,30,ADMINISTRATIVO,3872.878,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL C,3222418.0,Tiempo Completo,24,ADMINISTRATIVO,3222.418,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3113644.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,3113.644,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL A,1273489.0,Tiempo Completo,24,ADMINISTRATIVO,1273.489,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO C,1494890.0,Tiempo Completo,20,ADMINISTRATIVO,1494.89,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESIONAL C,3423279.0,Tiempo Completo,34,ADMINISTRATIVO,3423.279,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR ADJUNTO                       ,3013461.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,3013.461,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,5145313.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,5145.313,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
JEFE A,3715296.0,Tiempo Completo,35,ADMINISTRATIVO,3715.296,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1795377.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,1795.377,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3856885.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,3856.885,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO C,708445.9,Tiempo Completo,31,ADMINISTRATIVO,708.4459,"(553674.0, 810294.93]",30-40 Años,2020-08-01
PROFESIONAL B,1677606.0,Tiempo Completo,8,ADMINISTRATIVO,1677.606,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
JEFE A,3772160.0,Tiempo Completo,30,ADMINISTRATIVO,3772.16,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1459752.45,7/8 de tiempo,15,PUESTO NO ADMINISTRATIVO ,1459.75245,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO D,2078413.0,Tiempo Completo,35,ADMINISTRATIVO,2078.413,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",10-20 Años,2020-08-01
JEFE A,3500277.0,Tiempo Completo,29,ADMINISTRATIVO,3500.277,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3952314.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,3952.314,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,166610.4,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,166.6104,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1606383.0,Tiempo Completo,32,ADMINISTRATIVO,1606.383,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO C,1807261.0,Tiempo Completo,27,ADMINISTRATIVO,1807.261,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,2060756.0,Tiempo Completo,34,ADMINISTRATIVO,2060.756,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,905786.0,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,905.786,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,1386668.0,Tiempo Completo,37,ADMINISTRATIVO,1386.668,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO B,1330829.0,Tiempo Completo,34,ADMINISTRATIVO,1330.829,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESIONAL B,1409086.9,1/2 tiempo,35,ADMINISTRATIVO,1409.0869,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESIONAL C,2388068.0,Tiempo Completo,14,ADMINISTRATIVO,2388.068,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
JEFE A,4273448.0,Tiempo Completo,35,ADMINISTRATIVO,4273.448,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESIONAL A,2539570.0,Tiempo Completo,29,ADMINISTRATIVO,2539.57,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
JEFE A,3017945.0,Tiempo Completo,26,ADMINISTRATIVO,3017.945,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,565810.75,1/4 de tiempo,24,ADMINISTRATIVO,565.81075,"(553674.0, 810294.93]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1633098.0,3/4 de tiempo,30,PUESTO NO ADMINISTRATIVO ,1633.098,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,15,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1610365.0,Tiempo Completo,35,ADMINISTRATIVO,1610.365,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1927391.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,1927.391,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,456825.05,5/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,456.82505,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2216641.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,2216.641,"(2051801.0, 2802161.5]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3881992.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,3881.992,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,119674.5,1/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,119.6745,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1639377.0,Tiempo Completo,19,ADMINISTRATIVO,1639.377,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,489652.0,1/4 de tiempo,25,PUESTO NO ADMINISTRATIVO ,489.652,"(334919.26, 553674.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,183223.1,1/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,183.22310000000002,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,2143801.0,Tiempo Completo,31,ADMINISTRATIVO,2143.801,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO B,1349442.0,Tiempo Completo,33,ADMINISTRATIVO,1349.442,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,906488.05,1/2 tiempo,30,PUESTO NO ADMINISTRATIVO ,906.48805,"(810294.93, 1061071.0]",20-30 Años,2020-08-01
PROFESIONAL D,3404051.0,Tiempo Completo,28,ADMINISTRATIVO,3404.051,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL C,2694702.0,Tiempo Completo,16,ADMINISTRATIVO,2694.702,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,295321.3,1/2 tiempo,2,PUESTO NO ADMINISTRATIVO ,295.3213,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,207447.95,1/8 de tiempo,16,PUESTO NO ADMINISTRATIVO ,207.44795000000002,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,597305.7,3/8 de tiempo,19,PUESTO NO ADMINISTRATIVO ,597.3057,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1995972.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,1995.972,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ADJUNTO                       ,3535088.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,3535.088,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,176622.95,1/8 de tiempo,15,PUESTO NO ADMINISTRATIVO ,176.62295,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESIONAL D,3729190.0,Tiempo Completo,33,ADMINISTRATIVO,3729.19,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,3395463.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,3395.463,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,512078.75,1/4 de tiempo,29,PUESTO NO ADMINISTRATIVO ,512.07875,"(334919.26, 553674.0]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL B,1414894.0,Tiempo Completo,27,ADMINISTRATIVO,1414.894,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL B,1265958.0,Tiempo Completo,21,ADMINISTRATIVO,1265.958,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1710534.0,Tiempo Completo,33,ADMINISTRATIVO,1710.534,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
JEFE B,3995015.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,3995.015,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,1583330.0,Tiempo Completo,17,ADMINISTRATIVO,1583.33,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,2358166.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,2358.166,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO C,1597104.0,Tiempo Completo,23,ADMINISTRATIVO,1597.104,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ADJUNTO                       ,2280569.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,2280.569,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3735780.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,3735.78,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3171739.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,3171.739,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1314205.0,Tiempo Completo,29,ADMINISTRATIVO,1314.205,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESIONAL C,3478137.0,Tiempo Completo,32,ADMINISTRATIVO,3478.137,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESIONAL A,2604993.0,Tiempo Completo,32,ADMINISTRATIVO,2604.993,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,765898.1,3/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,765.8981,"(553674.0, 810294.93]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1436170.0,Tiempo Completo,28,ADMINISTRATIVO,1436.17,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3598373.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,3598.373,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL B,1578014.0,Tiempo Completo,34,ADMINISTRATIVO,1578.014,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
JEFE A,3748635.0,Tiempo Completo,30,ADMINISTRATIVO,3748.635,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO,1899065.5,Tiempo Completo,17,ADMINISTRATIVO,1899.0655,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1542553.0,Tiempo Completo,34,ADMINISTRATIVO,1542.553,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESIONAL B,3038831.0,Tiempo Completo,35,ADMINISTRATIVO,3038.831,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
TECNICO ESPECIALIZADO D,1527283.0,Tiempo Completo,13,ADMINISTRATIVO,1527.283,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,356090.15,3/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,356.09015000000005,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,643668.0,1/2 tiempo,16,PUESTO NO ADMINISTRATIVO ,643.668,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESIONAL B,2810844.0,Tiempo Completo,28,ADMINISTRATIVO,2810.844,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL B,3064497.0,Tiempo Completo,35,ADMINISTRATIVO,3064.497,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,474700.7,1/4 de tiempo,24,PUESTO NO ADMINISTRATIVO ,474.7007,"(334919.26, 553674.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2020897.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,2020.897,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
DIRECTOR DE ESCUELA,6191709.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,6191.709,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
DIRECTOR,4420605.0,Tiempo Completo,29,ADMINISTRATIVO,4420.605,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO B,1392872.0,Tiempo Completo,35,ADMINISTRATIVO,1392.872,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,588323.75,1/4 de tiempo,33,PUESTO NO ADMINISTRATIVO ,588.32375,"(553674.0, 810294.93]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO C,1236326.0,Tiempo Completo,24,ADMINISTRATIVO,1236.326,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1259520.35,3/4 de tiempo,20,PUESTO NO ADMINISTRATIVO ,1259.52035,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,500992.75,1/4 de tiempo,25,PUESTO NO ADMINISTRATIVO ,500.99275,"(334919.26, 553674.0]",20-30 Años,2020-08-01
PROFESIONAL B,2696850.0,Tiempo Completo,15,ADMINISTRATIVO,2696.85,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,2388168.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,2388.168,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,4574879.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,4574.879,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,3262523.5,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,3262.5235,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
